V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
0.8265388204095221,0.575079160735782,0.44456332635842866,0.599185604284337,1,0.4853780412826414,0.6702898685355505,0.49606901637070416,0.10003492724633016,0.2671306128109225,0.7034424536669852,0.7810323784764666,0.18189503808329371,0.3072071779589896,0.7276119909340422,0.18588987792536033,0.28539194857651434,0.5626986634250192,0.6192104096917282,0.6591729051025208,0.5236663034950266,0.6338240177605768,0.47172478151959296,0.6712771238346052,0.11575049965608655,0.8339090499926807,0.40669106528707305,0.9645492303531357,0.6642229418921249,0.567230812154248,0.2689860867710489,0.4173668271271873
0.8591909494552592,0.20660356497284763,0.34387303270350356,0.33616471583688234,0.3699117158995121,0.39083705055292073,0.5476351004630469,0.23333849958276362,0.6693874384368984,0.1849391608297342,0.4002778049513666,0.27119518138288856,0.2487370760384256,0.8138020755636307,0.6379869044843838,0.254431180057871,0.293036192122059,0.26653208533552647,0.3748995905662107,0.39452194187523276,0.35887292590493414,1,0.43545624285701434,0.9433036733472262,0.24478621246112287,0.30468602388686017,0.3371019261425853,0.27975362758161626,0.20244843277880378,0.31726229013293905,0.6094305830242395,0.2213727481707228
0.4430850237960083,0.08641244390360102,0.11825211588009202,0.4494083105720844,0.36243477416983433,0.4265395084726036,0.2697707334140157,0.8842214611439394,0.6716058219553768,0.49040488026550777,0.4969034302513093,0.35069563949431476,0.16725078230557247,1,0.1187416616693946,0.12580741940757462,0.7060659017502151,0.3217257034719824,0.6965244171756947,0.24695759462782427,0.640270732977933,0.6328138212382294,0.9092962324499947,0.3460789857009805,0.22039068755006105,0.16066392373854596,0.25755559743474904,0.7332766750052967,0.20738687864200697,0.2347933349262663,0.1171405802689737,0.10760380213131822
0.5057248905344565,0.169218813245052,0.8436397905902635,0.40089275394909507,0.6807931127979618,0.6464828435160214,0.39437175159407245,0.40753302078237685,0.24749910316557217,0.3400791298959515,0.2594191399294803,0.49806229727737966,0.8574912912955532,0.31394274084696083,0.24295452816285737,0.3015139136542041,1,0.4631929701512458,0.4124402713913191,0.7073383114493136,0.27409397870024926,0.38407850333074744,0.07951976910564462,0.47886423698548086,0.33358384334687524,0.4423965287402282,0.2560355357349297,0.6694741700573648,0.4491585934661926,0.3420211269140981,0.47221016960828177,0.36086394687908296
0.4572968189178097,0.509482325946139,0.16428593415877996,0.1545404059885958,0.4080108282918122,0.14362665044575804,0.08794396340771533,0.16716412503509848,0.23831279624787072,0.36570436668298095,0.8934849269467711,0.12487543901017026,0.09724058199195569,0.6010747694525518,0.9981739625823303,0.8415913924881061,0.3022974321052653,0.14999125970850322,0.27419131609135056,0.12949680928278978,0.17274663564593912,0.16526317340192043,0.15361238984627665,0.1179720363274362,0.7433394812145682,1,0.8131118643290937,0.18082882567168734,0.279909448300383,0.7909494182261353,0.7053666784506373,0.2715981952509294
0.03832960932094035,0.0595862655977516,0.0847934647634575,1,0.04835520785977091,0.3649487218845405,0.468623624687136,0.2357285656953345,0.5436315966330308,0.547508397969497,0.7069047246406124,0.6555042796640259,0.338081733303227,0.18067457879138962,0.06216044455500321,0.06977995739984429,0.45880444009766913,0.3200621605916573,0.08639718323371172,0.1077669338869571,0.7143815854934055,0.6042717920194509,0.752919272749828,0.7577199414117403,0.1352938716349344,0.05756656282796457,0.124157463445685,0.7717251373614007,0.17066220009511116,0.042298929020116394,0.09676062655828359,0.28615680576253766
0.4529596102529508,0.3984428797483543,0.5627781380812501,0.5806931324559799,0.5890128389877012,0.38472840598965125,0.4919555311799662,0.22965229551450622,0.44976772217686256,0.3888031772159245,0.47453584443082286,0.16906929258568715,0.5033188738009066,0.6790475948964688,0.632313892883769,0.19298331347840278,0.14656682330222442,0.29789020549106365,0.28135468390227825,0.43399156632006675,0.32748627464866326,0.6568273194890182,0.4746069849567506,0.7949378743184489,1,0.3758771145276591,0.3674392509923676,0.47902619330327567,0.15995941817126907,0.3146168003843041,0.3874908446457072,0.11060640044211258
0.5065919437547203,0.27743652012955117,0.5455993728263514,0.42234586110701566,0.4693538942305688,1,0.8527119101100895,0.4628409082057426,0.28722670133287326,0.16716282706770705,0.21095320791817798,0.18250215253633034,0.15297204369525821,0.1789145242112851,0.25350028707479694,0.14437976282992043,0.9018765248789442,0.7622946582417145,0.7494642772439067,0.7372732386448663,0.19516955059337518,0.2125360936235835,0.5176695254010807,0.18825282792189696,0.1704636869648393,0.14159200411913933,0.17413214545295666,0.2612826460331309,0.20061501785062763,0.229049274749688,0.2682566268069089,0.3182267077042985
0.7805383483307035,0.9233729918058912,0.6173581550195505,0.6268475983555728,0.07867172414038709,0.5642050044673563,0.08828179006046614,0.8160103413322158,0.02719871815765833,0.029899350403978554,0.02141993810090362,0.02390553670853454,0.017155251918274352,0.024287110251141306,0.02033260327564419,0.019975292455449517,0.05327390359679911,0.571283752581138,0.8445631294149589,1,0.6829673051126731,0.8013987015085996,0.021993627155269816,0.17062423057078896,0.022119652293840313,0.017543323677732384,0.025334157833653802,0.023509530736941987,0.23183603506709957,0.03289908318675179,0.016569669594200642,0.024564288491307356
0.02949431982539555,0.036301511978786276,0.03521751668134188,0.04369265091772372,0.025724524264478747,0.16737198916962262,0.09358677311554399,0.6106936912866853,0.5844349897836507,0.8646502059968838,0.6721839552929563,0.6297679918754157,1,0.4807400138246464,0.47861703174126274,0.49475595012116036,0.4620483744127643,0.9485303229602763,0.42284715541249807,0.8027670170061986,0.567606056342504,0.580898448118597,0.32196272054823555,0.8707354770283918,0.11946047368584808,0.35918824573021163,0.48834243908075525,0.08245164171568795,0.1151761122514576,0.42798756033613466,0.11020422905403873,0.05717419584961024
